Date,precipitation,precipitation_ewma_30d,target_runoff
2014-03-28,-5.960430371487746e-06,0.0462938598836606,0.0
2014-03-29,0.0008523463179699,0.0433621493310354,0.0
2014-03-30,0.0008731695970709,0.04062092483207,0.0
2014-03-31,0.0008553265615773,0.0380554023630059,0.0
2014-04-01,0.0099241733551025,0.036240484362496,2.9802322387695312e-05
2014-04-02,0.5492866039276123,0.0693402340118584,0.0019222497940063
2014-04-03,0.3649324177672497,0.0884106974799481,0.0011771917343139
2014-04-04,0.0016957510524662,0.0828161848072074,0.0
2014-04-05,0.0004351138045421,0.0775012770005838,0.0
2014-04-06,0.0188647004506492,0.0737182720618783,4.470348358154297e-05
2014-04-07,0.0340015974984453,0.0711559059610117,0.0001341104507446
2014-04-08,0.0403581770456185,0.0691689557084057,0.0001490116119384
2014-04-09,0.2024471759796142,0.0777675505646127,0.0007003545761108
