name,lat,lon,pred_day_1,pred_day_2,pred_day_3,pred_day_4,pred_day_5,pred_day_6,pred_day_7
Grid,23.272727272727273,97.0,0.0,1.4592680931091309,0.87195635,0.8738286,0.7952655,0.19361615,0.19328848
Grid,25.818181818181817,68.0,13.253531455993652,0.0,0.17742433,0.13509847,0.14134914,0.17399326,0.19328848
Grid,25.818181818181817,70.63636363636364,13.368270874023438,0.0,0.14963813,0.12144871,0.13110466,0.16747355,0.19328848
Grid,25.818181818181817,73.27272727272727,7.1814680099487305,0.0,0.85869944,0.28584898,0.22249743,0.19523025,0.19328848
Grid,25.818181818181817,75.9090909090909,0.76085364818573,0.19297607243061066,0.13383389,0.13281032,0.13890885,0.16579054,0.19328848
Grid,25.818181818181817,78.54545454545455,6.901886463165283,0.0,0.26203007,0.23311324,0.2055978,0.19509397,0.19328848
Grid,25.818181818181817,81.18181818181819,1.4555288553237915,0.09285882115364075,0.18202215,0.120915025,0.13039201,0.16701028,0.19328848
Grid,25.818181818181817,83.81818181818181,13.340205192565918,0.0,0.1704289,0.13175234,0.13885751,0.17243095,0.19328848
Grid,25.818181818181817,86.45454545454545,12.788022994995117,0.0,0.8498256,0.29152298,0.22479609,0.19608475,0.19328848
Grid,25.818181818181817,89.0909090909091,8.731502532958984,0.0,0.83070266,0.2952934,0.22665411,0.19572072,0.19328848
Grid,25.818181818181817,91.72727272727272,2.083982467651367,0.6853480339050293,0.665604,0.49312258,0.20189062,0.18369123,0.19328848
Grid,25.818181818181817,94.36363636363636,4.988523483276367,0.1825740933418274,1.0948259,0.7433355,0.5969446,0.20719409,0.19328848
Grid,25.818181818181817,97.0,5.009138107299805,0.06583154201507568,1.1510156,0.82266366,0.7427737,0.21137133,0.19328848
Grid,28.363636363636363,68.0,0.21111391484737396,0.0,0.14479488,0.11896834,0.12922108,0.16624913,0.19328848
Grid,28.363636363636363,70.63636363636364,0.3021363914012909,0.19022434949874878,0.14566243,0.11941396,0.12956023,0.16647041,0.19328848
Grid,28.363636363636363,73.27272727272727,0.3885991871356964,0.19362717866897583,0.17875023,0.11885196,0.12888454,0.16602963,0.19328848
Grid,28.363636363636363,75.9090909090909,0.22844776511192322,0.1988162100315094,0.19321822,0.11799842,0.12823343,0.1656039,0.19328848
Grid,28.363636363636363,78.54545454545455,0.21898187696933746,0.1924193650484085,0.1309891,0.11784069,0.12817636,0.16556717,0.19328848
Grid,28.363636363636363,81.18181818181819,0.7862815260887146,0.17719238996505737,0.19446604,0.14032982,0.13890997,0.16724177,0.19328848
Grid,28.363636363636363,83.81818181818181,5.8344502449035645,0.10669529438018799,0.94500893,0.46687758,0.22408456,0.20122543,0.19328848
Grid,28.363636363636363,86.45454545454545,2.8180887699127197,0.3179711699485779,0.42715842,0.27862513,0.21643199,0.19703247,0.19328848
Grid,28.363636363636363,89.0909090909091,1.281612515449524,0.6880480051040649,0.55468535,0.22351503,0.20173386,0.19053139,0.19328848
Grid,28.363636363636363,91.72727272727272,1.998237133026123,0.6755298376083374,0.69576234,0.49903983,0.20170346,0.17592087,0.19328848
Grid,28.363636363636363,94.36363636363636,1.027509093284607,1.0613298416137695,0.84830153,0.615108,0.37526274,0.20383939,0.19328848
Grid,28.363636363636363,97.0,2.4244961738586426,0.7995887994766235,0.78222656,0.46160564,0.21732882,0.19953497,0.19328848
Grid,30.90909090909091,68.0,0.19953444600105286,0.19262365996837616,0.1419878,0.11751503,0.12811393,0.16552553,0.19328848
Grid,30.90909090909091,70.63636363636364,0.20462848246097565,0.1874426007270813,0.14270872,0.117889866,0.12839898,0.16571224,0.19328848
Grid,30.90909090909091,73.27272727272727,0.2792781591415405,0.19285783171653748,0.14323987,0.11816561,0.12860835,0.16584985,0.19328848
Grid,30.90909090909091,75.9090909090909,0.2188294380903244,0.1923118531703949,0.14206387,0.11755459,0.12814403,0.16554624,0.19328848
Grid,30.90909090909091,78.54545454545455,0.19114911556243896,0.14175012707710266,0.19801341,0.1497867,0.16903847,0.18686205,0.19328848
Grid,30.90909090909091,81.18181818181819,0.8671363592147827,0.1923111081123352,0.19794971,0.08786738,0.10584295,0.15952393,0.19328848
Grid,30.90909090909091,83.81818181818181,1.3033193349838257,0.18723756074905396,0.20624034,0.13156109,0.14688745,0.17250776,0.19328848
Grid,30.90909090909091,86.45454545454545,0.8897474408149719,0.7968500256538391,0.2112408,0.19368537,0.15518136,0.18363513,0.19328848
Grid,30.90909090909091,89.0909090909091,10.581491470336914,0.0,1.529629,0.5113932,0.30742526,0.20965666,0.19328848
Grid,30.90909090909091,91.72727272727272,7.569838047027588,0.0,1.3560667,0.73785067,0.6582301,0.207785,0.19328848
Grid,30.90909090909091,94.36363636363636,8.009930610656738,0.0,0.3514023,0.2503957,0.21272346,0.19205391,0.19328848
Grid,30.90909090909091,97.0,4.1144914627075195,0.186641663312912,0.21702312,0.2367492,0.21058813,0.19741818,0.19328848
